club_name,age,player_name,position,club_involved_name,season,Valore Reale,Valore Predetto
Spezia Calcio,21.0,Emil Holm,Right-Back,SönderjyskE,9,0.3,2.987578455958344
SSC Napoli,23.0,Leonardo Candellone,Centre-Forward,Torino,8,0.5,7.268718921040114
Real Betis Balompié,34.0,Joaquín,Right Winger,Fiorentina,3,1.5,2.2373774299622182
Southampton FC,23.0,Oriol Romeu,Defensive Midfield,Chelsea,3,7.0,12.495636563108793
AS Roma,33.0,Rui Patrício,Goalkeeper,Wolves,9,11.8,6.346705363625201
Olympique Lyon,30.0,Marcelo,Centre-Back,Besiktas,5,7.5,6.210190367992873
Hellas Verona,28.0,Eros Pisano,Right-Back,US Palermo,3,1.0,2.0690963679253915
Vitória Guimarães SC,27.0,Davidson,Left Winger,Chaves,6,0.8,3.7949469605329718
Aston Villa,29.0,Álex Moreno,Left-Back,Real Betis,10,13.5,10.094209176787698
Paris Saint-Germain,24.0,Gregory van der Wiel,Right-Back,Ajax,0,6.0,36.39890496768549
CA Osasuna,27.0,Oriol Riera,Centre-Forward,Alcorcón,1,0.7,2.114593492936975
Norwich City,17.0,Daniel Adshead,Central Midfield,Rochdale,7,0.335,6.956008564538376
Aston Villa,24.0,Emiliano Buendía,Right Winger,Norwich,9,38.4,8.975809424820806
Stoke City,24.0,Marko Arnautovic,Centre-Forward,Werder Bremen,1,2.8,7.688861804845072
Watford FC,24.0,Gerard Deulofeu,Centre-Forward,Barcelona,6,13.0,13.263446320934687
US Lecce,21.0,Lameck Banda,Right Winger,M. Petah Tikva,10,2.0,4.208656905257764
Angers SCO,23.0,Souleyman Doumbia,Left-Back,Stade Rennais,8,3.0,4.7659792254369675
Ajax Amsterdam,20.0,Davinson Sánchez,Centre-Back,Atl. Nacional,4,5.0,2.2999460772984106
Krylya Sovetov Samara,28.0,Amar Rahmanovic,Attacking Midfield,Konyaspor,10,0.75,3.8506829562917746
Brighton & Hove Albion,25.0,José Izquierdo,Left Winger,Club Brugge,5,14.5,7.370263142005864
Olympique Lyon,22.0,Bruno Guimarães,Defensive Midfield,Athletico-PR,7,20.0,5.1816517898151515
AZ Alkmaar,22.0,Sam Beukema,Centre-Back,Go Ahead Eagles,9,0.9,3.33972387722335
Brentford FC,23.0,Frank Onyeka,Central Midfield,FC Midtjylland,9,10.0,8.268091280031948
Eintracht Frankfurt,20.0,Yanni Regäsel,Right-Back,Hertha BSC,3,0.12,2.460378677526362
AC Milan,21.0,André Silva,Centre-Forward,FC Porto,5,38.0,11.566634431153783
FK Rostov,22.0,Aleksey Mironov,Central Midfield,Loko-Kazanka M.,10,0.25,3.401841116062206
Levante UD,25.0,Diego Mariño,Goalkeeper,Real Valladolid,3,0.25,2.4305157694329904
Udinese Calcio,20.0,Francisco Sierralta,Centre-Back,Granada CF,5,0.666,4.1696199396361395
Borussia Mönchengladbach,27.0,Michael Lang,Right-Back,FC Basel,6,2.8,5.392652645236091
Inter Milan,24.0,Rene Krhin,Defensive Midfield,Bologna,2,1.2,4.498724112269004
Newcastle United,20.0,Ayoze Pérez,Second Striker,CD Tenerife,2,2.0,5.017517106106957
VfB Stuttgart,27.0,Kevin Großkreutz,Right-Back,Galatasaray,3,2.17,1.7283786471319162
Swansea City,24.0,Jefferson Montero,Left Winger,Monarcas Morelia,2,5.0,8.214672938780803
Olympique Lyon,23.0,Romain Faivre,Right Midfield,Stade Brestois,9,15.0,5.689858358766433
Rubin Kazan,18.0,Georgi Makhatadze,Central Midfield,Loko Moscow II,4,0.035,2.1911687161118634
SD Eibar,27.0,Takashi Inui,Left Winger,E. Frankfurt,3,0.5,2.1487247212740455
FC Barcelona,26.0,Ivan Rakitic,Central Midfield,Sevilla FC,2,18.0,35.34721310627827
FC Porto,24.0,Wilson Manafá,Right-Back,Portimonense,6,7.0,3.7059913149643102
LOSC Lille,25.0,Kévin Malcuit,Right-Back,Saint-Étienne,5,9.0,4.861831716107613
Juventus FC,22.0,Mame Thiam,Left Winger,Virtus Lanciano,3,1.4,14.467083248486377
FK Krasnodar,24.0,Tonny Vilhena,Central Midfield,Feyenoord,7,9.0,6.422333996605239
VfL Wolfsburg,19.0,Francisco Rodríguez,Attacking Midfield,FC Zürich,3,1.6,3.5179709382576743
Hull City,29.0,Dame N'Doye,Centre-Forward,Loko Moscow,2,3.96,5.97098535094173
Twente Enschede FC,23.0,Cuco Martina,Right-Back,RKC Waalwijk,1,0.35,2.1072841998428373
Sporting CP,21.0,Lumor,Left-Back,Portimonense,5,2.5,3.56480433972836
FC Crotone,24.0,Ante Budimir,Centre-Forward,FC St. Pauli,4,1.0,2.9485764815548845
Arsenal FC,21.0,Nuno Tavares,Left-Back,Benfica,9,8.0,27.848343167505778
Watford FC,30.0,Valon Behrami,Defensive Midfield,Hamburger SV,3,3.5,5.803957070195772
Valencia CF,26.0,Francis Coquelin,Defensive Midfield,Arsenal,5,14.0,8.54968808050975
RCD Mallorca,27.0,Ante Budimir,Centre-Forward,Crotone,7,2.2,5.334616489769099
AS Monaco,21.0,Youssouf Fofana,Central Midfield,R. Strasbourg,7,15.0,14.435942706378736
AC Siena,31.0,Francesco Valiani,Central Midfield,Parma,0,0.1,0.541796046390787
Delfino Pescara 1936,28.0,Ferdinando Sforzini,Centre-Forward,Grosseto,0,0.4,1.9842731081409162
Vitesse Arnhem,19.0,Mukhtar Ali,Defensive Midfield,Chelsea U23,5,0.5,2.5609203038419617
Hellas Verona,25.0,Alejandro González,Centre-Back,Peñarol,1,2.4,1.6749795606872682
Venezia FC,22.0,David Schnegg,Left-Back,LASK,9,0.25,3.570753664426362
Brighton & Hove Albion,20.0,Anders Dreyer,Right Winger,Esbjerg fB,6,2.2,7.842797245326182
West Ham United,25.0,Saïd Benrahma,Left Winger,Brentford,8,23.1,12.434500670873845
FK Rostov,21.0,Nika Kacharava,Centre-Forward,Tskhinvali,3,0.3,2.010091406829768
TSG 1899 Hoffenheim,23.0,Pavel Kaderabek,Right-Back,Sparta Prague,3,3.5,1.1454119232623574
Hannover 96,19.0,Leonardo Bittencourt,Attacking Midfield,Bor. Dortmund,1,2.8,2.0663854899979923
FC Barcelona,23.0,Jordi Alba,Left-Back,Valencia,0,14.0,18.158886415771534
Parma FC,19.0,Marijan Coric,Goalkeeper,Istra 1961 U19,2,0.02,0.5895973235383505
West Ham United,23.0,Nikola Vlasic,Attacking Midfield,CSKA Moscow,9,30.0,15.654021965928072
VfL Wolfsburg,22.0,Kevin De Bruyne,Attacking Midfield,Chelsea,1,22.0,12.708482062286437
Bologna FC 1909,32.0,Marko Arnautovic,Centre-Forward,SH Port,9,3.0,1.4388291190927638
RB Leipzig,22.0,Bruma,Left Winger,Galatasaray,5,15.0,11.056136008099005
FK Krasnodar,23.0,Igor Smolnikov,Right-Back,Rostov,0,2.5,1.0906349420899344
FC Metz,22.0,Warren Tchimbembé,Right Winger,Troyes,8,1.0,4.778877372536089
Aston Villa,33.0,Joleon Lescott,Centre-Back,West Brom,3,1.4,3.7167451551054222
FC Internazionale,26.0,Fredy Guarín,Central Midfield,FC Porto,0,11.0,5.708583592685293
Dijon FCO,20.0,Mounir Chouiar,Left Winger,Lens,7,3.5,4.0828071228413645
1.FC Nuremberg,21.0,Ondrej Petrak,Defensive Midfield,Slavia Prague,1,1.0,1.5926206472371736
Levante UD,25.0,Rúben Vezo,Centre-Back,Valencia,7,5.0,7.898343326893233
Swansea City,26.0,Alberto Paloschi,Centre-Forward,Chievo Verona,3,8.8,8.956289595993232
SSC Napoli,23.0,Rafael,Goalkeeper,Santos FC,1,5.0,2.3649897150238903
Leicester City,22.0,Boubakary Soumaré,Defensive Midfield,LOSC Lille,9,20.0,15.565502159495574
Eintracht Frankfurt,21.0,Ragnar Ache,Centre-Forward,Sparta R.,8,2.0,4.783361508235164
Olympique Lyon,18.0,Lenny Pintor,Left Winger,Stade Brestois,6,5.0,5.664269474667097
Montpellier HSC,21.0,Jean Deza,Left Winger,U. San Martín,2,0.5,2.4591129885120724
AS Roma,25.0,Mapou Yanga-Mbiwa,Centre-Back,Newcastle,2,7.35,5.590822016502073
AS Monaco,29.0,Jérémy Toulalan,Defensive Midfield,Málaga CF,1,5.0,6.638157804504764
FC Barcelona,27.0,Jasper Cillessen,Goalkeeper,Ajax,4,13.0,37.12512556077252
Burnley FC,26.0,Ashley Westwood,Defensive Midfield,Aston Villa,4,5.8,9.0740627385803
Dinamo Moscow,24.0,Nikolay Komlichenko,Centre-Forward,Mlada Boleslav,7,3.5,4.255477086550907
Nottingham Forest,24.0,Taiwo Awoniyi,Centre-Forward,Union Berlin,10,20.5,12.873061907483507
Bologna FC 1909,24.0,Ladislav Krejci,Left Midfield,Sparta Prague,4,3.8,2.5405441285302692
Tottenham Hotspur,25.0,Hugo Lloris,Goalkeeper,Olympique Lyon,0,12.6,10.714505547912967
Chelsea FC,18.0,Carney Chukwuemeka,Central Midfield,Aston Villa,10,18.0,23.92355486341733
ACF Fiorentina,25.0,Milan Badelj,Defensive Midfield,Hamburger SV,2,4.0,6.609949798108778
Getafe CF,26.0,Pedro León,Right Winger,Real Madrid,1,6.0,7.171906633651908
UC Sampdoria,30.0,Lorenzo Tonelli,Centre-Back,SSC Napoli,8,2.0,3.907822943621086
UC Sampdoria,21.0,Stefano Beltrame,Attacking Midfield,Juventus,2,2.0,5.1865536914003325
Borussia Mönchengladbach,19.0,Kouadio Koné,Central Midfield,Toulouse,8,9.0,6.60313063279144
LOSC Lille,24.0,Léo Jardim,Goalkeeper,Rio Ave FC,7,6.0,5.207225314057404
SC Freiburg,23.0,Lucas Höler,Centre-Forward,SV Sandhausen,5,2.0,4.251404949580117
Sporting CP,22.0,Marcos Rojo,Centre-Back,Spartak Moscow,0,4.0,3.1966692177341307
VfB Stuttgart,31.0,Genki Haraguchi,Attacking Midfield,Union Berlin,10,1.0,2.3665960377095567
Olympique Marseille,27.0,Pau López,Goalkeeper,AS Roma,10,12.0,8.012130831322796
Newcastle United,24.0,Daryl Janmaat,Centre-Back,Feyenoord,2,6.0,7.322483092633899
Genoa CFC,28.0,Francesco Renzetti,Left-Back,Cesena,4,1.2,1.6947989011331588
Juventus FC,25.0,Martín Cáceres,Centre-Back,Sevilla FC,0,8.0,13.226084970957471
Parma FC,19.0,Giuliano Laezza,Centre-Back,Arzanese,1,0.075,1.163691967468662
US Salernitana 1919,26.0,Pasquale Mazzocchi,Right-Back,Venezia,10,1.0,4.432338734462257
Hamburger SV,26.0,Nicolai Müller,Attacking Midfield,1.FSV Mainz 05,2,4.5,1.3804931249650467
Rio Ave FC,21.0,Esmaël Gonçalves,Centre-Forward,OGC Nice,0,0.4,3.73101012633814
Stade Brestois 29,22.0,Charlison Benschop,Centre-Forward,AZ Alkmaar,0,1.25,4.0696508327787475
Amkar Perm,27.0,Thomas Phibel,Centre-Back,Widzew Lodz,1,0.35,1.895336649384481
Athletic Bilbao,26.0,Cristian Ganea,Left-Back,FC Viitorul,6,1.0,3.4812510888560797
US Palermo,23.0,Simon Makienok,Centre-Forward,Bröndby IF,2,2.3,2.629304290031031
Swansea City,26.0,Sam Clucas,Central Midfield,Hull City,5,16.3,9.753019713219523
Feyenoord Rotterdam,21.0,Santiago Giménez,Centre-Forward,CD Cruz Azul,10,4.0,2.8217691639898677
AS Saint-Étienne,27.0,Nolan Roux,Centre-Forward,LOSC Lille,3,2.0,4.258389890887013
Southampton FC,25.0,Dusan Tadić,Left Winger,Twente FC,2,14.0,8.656812342213001
Swansea City,25.0,Jack Cork,Defensive Midfield,Southampton,2,4.0,9.397882133761694
CSKA Moscow,18.0,Lassana N'Diaye,Centre-Forward,Guidars FC,6,0.07,3.0419947699343255
