club_name,age,player_name,position,club_involved_name,season,Valore Reale,Valore Predetto,Differenza
Spezia Calcio,21.0,Emil Holm,Right-Back,SönderjyskE,9,0.3,2.214549106950998,1.9145491069509981
SSC Napoli,23.0,Leonardo Candellone,Centre-Forward,Torino,8,0.5,10.56320024551758,10.06320024551758
Real Betis Balompié,34.0,Joaquín,Right Winger,Fiorentina,3,1.5,1.8099571519058597,0.3099571519058597
Southampton FC,23.0,Oriol Romeu,Defensive Midfield,Chelsea,3,7.0,12.380594998400792,5.380594998400792
AS Roma,33.0,Rui Patrício,Goalkeeper,Wolves,9,11.8,6.419939211725226,-5.380060788274775
Olympique Lyon,30.0,Marcelo,Centre-Back,Besiktas,5,7.5,7.76783431826951,0.26783431826951
Hellas Verona,28.0,Eros Pisano,Right-Back,US Palermo,3,1.0,0.7645162294343365,-0.2354837705656635
Vitória Guimarães SC,27.0,Davidson,Left Winger,Chaves,6,0.8,3.7546994640043767,2.954699464004377
Aston Villa,29.0,Álex Moreno,Left-Back,Real Betis,10,13.5,10.265978038266685,-3.2340219617333155
Paris Saint-Germain,24.0,Gregory van der Wiel,Right-Back,Ajax,0,6.0,26.665695721993725,20.665695721993725
CA Osasuna,27.0,Oriol Riera,Centre-Forward,Alcorcón,1,0.7,1.679507700601843,0.9795077006018431
Norwich City,17.0,Daniel Adshead,Central Midfield,Rochdale,7,0.335,5.642633669685362,5.307633669685362
Aston Villa,24.0,Emiliano Buendía,Right Winger,Norwich,9,38.4,9.94827142105946,-28.45172857894054
Stoke City,24.0,Marko Arnautovic,Centre-Forward,Werder Bremen,1,2.8,5.492620458133717,2.6926204581337174
Watford FC,24.0,Gerard Deulofeu,Centre-Forward,Barcelona,6,13.0,12.171280163236617,-0.8287198367633835
US Lecce,21.0,Lameck Banda,Right Winger,M. Petah Tikva,10,2.0,3.216048398256187,1.216048398256187
Angers SCO,23.0,Souleyman Doumbia,Left-Back,Stade Rennais,8,3.0,3.1902251688641714,0.1902251688641714
Ajax Amsterdam,20.0,Davinson Sánchez,Centre-Back,Atl. Nacional,4,5.0,8.431112945987278,3.4311129459872785
Krylya Sovetov Samara,28.0,Amar Rahmanovic,Attacking Midfield,Konyaspor,10,0.75,3.7302407990132407,2.9802407990132407
Brighton & Hove Albion,25.0,José Izquierdo,Left Winger,Club Brugge,5,14.5,7.996695955654433,-6.503304044345567
Olympique Lyon,22.0,Bruno Guimarães,Defensive Midfield,Athletico-PR,7,20.0,7.9619089018517,-12.0380910981483
AZ Alkmaar,22.0,Sam Beukema,Centre-Back,Go Ahead Eagles,9,0.9,4.188758146262878,3.2887581462628783
Brentford FC,23.0,Frank Onyeka,Central Midfield,FC Midtjylland,9,10.0,9.742549021305654,-0.2574509786943455
Eintracht Frankfurt,20.0,Yanni Regäsel,Right-Back,Hertha BSC,3,0.12,1.1938576772535865,1.0738576772535864
AC Milan,21.0,André Silva,Centre-Forward,FC Porto,5,38.0,13.042761029219188,-24.957238970780814
FK Rostov,22.0,Aleksey Mironov,Central Midfield,Loko-Kazanka M.,10,0.25,4.147432364313057,3.8974323643130573
Levante UD,25.0,Diego Mariño,Goalkeeper,Real Valladolid,3,0.25,3.0147323743197387,2.7647323743197387
Udinese Calcio,20.0,Francisco Sierralta,Centre-Back,Granada CF,5,0.666,3.1574573681777296,2.4914573681777297
Borussia Mönchengladbach,27.0,Michael Lang,Right-Back,FC Basel,6,2.8,5.8585890930949,3.0585890930949002
Inter Milan,24.0,Rene Krhin,Defensive Midfield,Bologna,2,1.2,4.609289968654999,3.409289968654999
Newcastle United,20.0,Ayoze Pérez,Second Striker,CD Tenerife,2,2.0,4.995257949305883,2.9952579493058833
VfB Stuttgart,27.0,Kevin Großkreutz,Right-Back,Galatasaray,3,2.17,2.333284889186947,0.16328488918694717
Swansea City,24.0,Jefferson Montero,Left Winger,Monarcas Morelia,2,5.0,7.579265868347866,2.579265868347866
Olympique Lyon,23.0,Romain Faivre,Right Midfield,Stade Brestois,9,15.0,7.6972285606155,-7.3027714393845
Rubin Kazan,18.0,Georgi Makhatadze,Central Midfield,Loko Moscow II,4,0.035,2.6645056961450573,2.629505696145057
SD Eibar,27.0,Takashi Inui,Left Winger,E. Frankfurt,3,0.5,3.908586081158384,3.408586081158384
FC Barcelona,26.0,Ivan Rakitic,Central Midfield,Sevilla FC,2,18.0,26.355352115185525,8.355352115185525
FC Porto,24.0,Wilson Manafá,Right-Back,Portimonense,6,7.0,2.2250241121703875,-4.774975887829612
LOSC Lille,25.0,Kévin Malcuit,Right-Back,Saint-Étienne,5,9.0,6.988153201993319,-2.0118467980066814
Juventus FC,22.0,Mame Thiam,Left Winger,Virtus Lanciano,3,1.4,13.712552516710998,12.312552516710998
FK Krasnodar,24.0,Tonny Vilhena,Central Midfield,Feyenoord,7,9.0,6.981837533183284,-2.018162466816716
VfL Wolfsburg,19.0,Francisco Rodríguez,Attacking Midfield,FC Zürich,3,1.6,2.5007134983640524,0.9007134983640523
Hull City,29.0,Dame N'Doye,Centre-Forward,Loko Moscow,2,3.96,6.526544069437403,2.566544069437403
Twente Enschede FC,23.0,Cuco Martina,Right-Back,RKC Waalwijk,1,0.35,0.775811654054458,0.425811654054458
Sporting CP,21.0,Lumor,Left-Back,Portimonense,5,2.5,2.456028294475853,-0.04397170552414709
FC Crotone,24.0,Ante Budimir,Centre-Forward,FC St. Pauli,4,1.0,4.349731212854946,3.3497312128549463
Arsenal FC,21.0,Nuno Tavares,Left-Back,Benfica,9,8.0,25.31725466104064,17.31725466104064
Watford FC,30.0,Valon Behrami,Defensive Midfield,Hamburger SV,3,3.5,4.938511968384049,1.4385119683840486
