,name,league,Overall,Rank,Tier
2,Real Madrid,Spanish Primera Division,1.0,1.0,S
1,Bayern Munich,German Bundesliga,0.9684002506501597,2.0,S
0,Manchester City,Barclays Premier League,0.8015741511567342,3.0,S
3,Liverpool,Barclays Premier League,0.7882797976215711,4.0,S
7,Paris Saint-Germain,French Ligue 1,0.7296662512742832,5.0,S
10,Borussia Dortmund,German Bundesliga,0.6779023438900474,6.0,S
15,Ajax,Dutch Eredivisie,0.6773207866617551,7.0,S
11,Manchester United,Barclays Premier League,0.6699275469906841,8.0,S
4,Arsenal,Barclays Premier League,0.6651008533834115,9.0,S
23,Juventus,Italy Serie A,0.6563446622873672,10.0,S
6,Atletico Madrid,Spanish Primera Division,0.6438615361776757,11.0,S
9,Chelsea,Barclays Premier League,0.6369359193952826,12.0,S
5,Napoli,Italy Serie A,0.579516931772918,13.0,S
8,Benfica,Portuguese Liga,0.5772260897681109,14.0,S
24,Tottenham Hotspur,Barclays Premier League,0.5675242459834604,15.0,S
19,FC Porto,Portuguese Liga,0.564540157906843,16.0,A
14,Internazionale,Italy Serie A,0.5580141185038568,17.0,A
34,Villarreal,Spanish Primera Division,0.5367115845482078,18.0,A
17,AS Roma,Italy Serie A,0.5304191795152189,19.0,A
12,Bayer Leverkusen,German Bundesliga,0.5265464625266686,20.0,A
13,RB Leipzig,German Bundesliga,0.510897057259075,21.0,A
32,PSV,Dutch Eredivisie,0.49631961839460204,22.0,A
16,Celtic,Scottish Premiership,0.49338073988315617,23.0,A
22,AC Milan,Italy Serie A,0.48907373754441963,24.0,A
58,Shakhtar Donetsk,UEFA Europa League,0.4811406647125068,25.0,A
20,Feyenoord,Dutch Eredivisie,0.4719350638589203,26.0,A
26,Lyon,French Ligue 1,0.46903071742110897,27.0,A
35,AS Monaco,French Ligue 1,0.4668334164383257,28.0,A
28,FC Salzburg,Austrian T-Mobile Bundesliga,0.44910469908698863,29.0,A
33,Eintracht Frankfurt,German Bundesliga,0.44009587005854406,30.0,A
21,Sporting CP,Portuguese Liga,0.43350697841578656,31.0,B
36,Atalanta,Italy Serie A,0.4241122665672099,32.0,B
25,Zenit St. Petersburg,Russian Premier Liga,0.4090606195832872,33.0,B
27,VfL Wolfsburg,German Bundesliga,0.40858489194251496,34.0,B
29,Fiorentina,Italy Serie A,0.39495244276364244,35.0,B
43,Young Boys,Swiss Raiffeisen Super League,0.3945116521389712,36.0,B
38,Leicester City,Barclays Premier League,0.3620718713501511,37.0,B
37,Lazio,Italy Serie A,0.361225148301018,38.0,B
57,Club Brugge,Belgian Jupiler League,0.35917906979160047,39.0,B
49,Dinamo Zagreb,UEFA Champions League,0.3577423975433999,40.0,B
50,Schalke 04,German Bundesliga,0.35543394533163525,41.0,B
31,West Ham United,Barclays Premier League,0.35360876929255086,42.0,B
42,Galatasaray,Turkish Turkcell Super Lig,0.352307757055586,43.0,B
51,Besiktas,Turkish Turkcell Super Lig,0.3497980035754565,44.0,B
60,Viktoria Plzen,UEFA Champions League,0.3470270028488468,45.0,B
40,Valencia,Spanish Primera Division,0.3416622576024584,46.0,C
18,Athletic Bilbao,Spanish Primera Division,0.33822448532492955,47.0,C
41,Real Betis,Spanish Primera Division,0.3326622749405572,48.0,C
54,Red Star Belgrade,UEFA Europa League,0.3303259508191143,49.0,C
80,FC Basel,Swiss Raiffeisen Super League,0.32799589976140436,50.0,C
30,Real Sociedad,Spanish Primera Division,0.30596755267319303,51.0,C
