age,Valore Reale,Valore Predetto,club_name,player_name,position,club_involved_name,season
21.0,0.3,1.5302083,Spezia Calcio,Emil Holm,Right-Back,SönderjyskE,2021/2022
23.0,0.5,10.795857,SSC Napoli,Leonardo Candellone,Centre-Forward,Torino,2020/2021
34.0,1.5,2.6239645,Real Betis Balompié,Joaquín,Right Winger,Fiorentina,2015/2016
23.0,7.0,12.429782,Southampton FC,Oriol Romeu,Defensive Midfield,Chelsea,2015/2016
33.0,11.8,5.677327,AS Roma,Rui Patrício,Goalkeeper,Wolves,2021/2022
30.0,7.5,3.8778756,Olympique Lyon,Marcelo,Centre-Back,Besiktas,2017/2018
28.0,1.0,1.8363041,Hellas Verona,Eros Pisano,Right-Back,US Palermo,2015/2016
27.0,0.8,2.8808882,Vitória Guimarães SC,Davidson,Left Winger,Chaves,2018/2019
29.0,13.5,11.954998,Aston Villa,Álex Moreno,Left-Back,Real Betis,2022/2023
24.0,6.0,28.541285,Paris Saint-Germain,Gregory van der Wiel,Right-Back,Ajax,2012/2013
27.0,0.7,1.8761839,CA Osasuna,Oriol Riera,Centre-Forward,Alcorcón,2013/2014
17.0,0.335,5.181114,Norwich City,Daniel Adshead,Central Midfield,Rochdale,2019/2020
24.0,38.4,12.312639,Aston Villa,Emiliano Buendía,Right Winger,Norwich,2021/2022
24.0,2.8,8.739517,Stoke City,Marko Arnautovic,Centre-Forward,Werder Bremen,2013/2014
24.0,13.0,9.695425,Watford FC,Gerard Deulofeu,Centre-Forward,Barcelona,2018/2019
21.0,2.0,2.431255,US Lecce,Lameck Banda,Right Winger,M. Petah Tikva,2022/2023
23.0,3.0,3.1862953,Angers SCO,Souleyman Doumbia,Left-Back,Stade Rennais,2020/2021
20.0,5.0,12.672454,Ajax Amsterdam,Davinson Sánchez,Centre-Back,Atl. Nacional,2016/2017
28.0,0.75,2.2336748,Krylya Sovetov Samara,Amar Rahmanovic,Attacking Midfield,Konyaspor,2022/2023
25.0,14.5,7.6040177,Brighton & Hove Albion,José Izquierdo,Left Winger,Club Brugge,2017/2018
22.0,20.0,8.060658,Olympique Lyon,Bruno Guimarães,Defensive Midfield,Athletico-PR,2019/2020
22.0,0.9,1.9657475,AZ Alkmaar,Sam Beukema,Centre-Back,Go Ahead Eagles,2021/2022
23.0,10.0,7.366171,Brentford FC,Frank Onyeka,Central Midfield,FC Midtjylland,2021/2022
20.0,0.12,2.175915,Eintracht Frankfurt,Yanni Regäsel,Right-Back,Hertha BSC,2015/2016
21.0,38.0,12.571954,AC Milan,André Silva,Centre-Forward,FC Porto,2017/2018
22.0,0.25,2.2041042,FK Rostov,Aleksey Mironov,Central Midfield,Loko-Kazanka M.,2022/2023
25.0,0.25,1.1298386,Levante UD,Diego Mariño,Goalkeeper,Real Valladolid,2015/2016
20.0,0.666,2.693919,Udinese Calcio,Francisco Sierralta,Centre-Back,Granada CF,2017/2018
27.0,2.8,6.3845525,Borussia Mönchengladbach,Michael Lang,Right-Back,FC Basel,2018/2019
24.0,1.2,10.758837,Inter Milan,Rene Krhin,Defensive Midfield,Bologna,2014/2015
20.0,2.0,5.82772,Newcastle United,Ayoze Pérez,Second Striker,CD Tenerife,2014/2015
