age,Valore Reale,Valore Predetto,club_name,player_name,position,club_involved_name,season,Differenza
21.0,0.3,1.2221122,Spezia Calcio,Emil Holm,Right-Back,SönderjyskE,2021/2022,0.9221121999999999
23.0,0.5,12.167343,SSC Napoli,Leonardo Candellone,Centre-Forward,Torino,2020/2021,11.667343
34.0,1.5,3.2999141,Real Betis Balompié,Joaquín,Right Winger,Fiorentina,2015/2016,1.7999141
23.0,7.0,11.313368,Southampton FC,Oriol Romeu,Defensive Midfield,Chelsea,2015/2016,4.3133680000000005
33.0,11.8,6.596943,AS Roma,Rui Patrício,Goalkeeper,Wolves,2021/2022,-5.203057000000001
30.0,7.5,5.8147407,Olympique Lyon,Marcelo,Centre-Back,Besiktas,2017/2018,-1.6852593000000002
28.0,1.0,1.2553666,Hellas Verona,Eros Pisano,Right-Back,US Palermo,2015/2016,0.2553666000000001
27.0,0.8,3.212099,Vitória Guimarães SC,Davidson,Left Winger,Chaves,2018/2019,2.4120989999999995
29.0,13.5,12.336812,Aston Villa,Álex Moreno,Left-Back,Real Betis,2022/2023,-1.1631879999999999
24.0,6.0,24.892189,Paris Saint-Germain,Gregory van der Wiel,Right-Back,Ajax,2012/2013,18.892189
27.0,0.7,1.7859462,CA Osasuna,Oriol Riera,Centre-Forward,Alcorcón,2013/2014,1.0859462
17.0,0.335,4.0996423,Norwich City,Daniel Adshead,Central Midfield,Rochdale,2019/2020,3.7646423
24.0,38.4,12.280725,Aston Villa,Emiliano Buendía,Right Winger,Norwich,2021/2022,-26.119275
24.0,2.8,7.1545258,Stoke City,Marko Arnautovic,Centre-Forward,Werder Bremen,2013/2014,4.3545258
24.0,13.0,10.763529,Watford FC,Gerard Deulofeu,Centre-Forward,Barcelona,2018/2019,-2.236471
21.0,2.0,2.0853052,US Lecce,Lameck Banda,Right Winger,M. Petah Tikva,2022/2023,0.08530520000000008
23.0,3.0,2.085809,Angers SCO,Souleyman Doumbia,Left-Back,Stade Rennais,2020/2021,-0.9141910000000002
20.0,5.0,8.298803,Ajax Amsterdam,Davinson Sánchez,Centre-Back,Atl. Nacional,2016/2017,3.2988029999999995
28.0,0.75,2.657301,Krylya Sovetov Samara,Amar Rahmanovic,Attacking Midfield,Konyaspor,2022/2023,1.907301
25.0,14.5,8.749833,Brighton & Hove Albion,José Izquierdo,Left Winger,Club Brugge,2017/2018,-5.750166999999999
22.0,20.0,10.0729885,Olympique Lyon,Bruno Guimarães,Defensive Midfield,Athletico-PR,2019/2020,-9.9270115
22.0,0.9,3.9778762,AZ Alkmaar,Sam Beukema,Centre-Back,Go Ahead Eagles,2021/2022,3.0778762
23.0,10.0,10.993173,Brentford FC,Frank Onyeka,Central Midfield,FC Midtjylland,2021/2022,0.9931730000000005
20.0,0.12,2.1016767,Eintracht Frankfurt,Yanni Regäsel,Right-Back,Hertha BSC,2015/2016,1.9816767
21.0,38.0,16.963558,AC Milan,André Silva,Centre-Forward,FC Porto,2017/2018,-21.036442
22.0,0.25,3.053164,FK Rostov,Aleksey Mironov,Central Midfield,Loko-Kazanka M.,2022/2023,2.803164
25.0,0.25,1.5973216,Levante UD,Diego Mariño,Goalkeeper,Real Valladolid,2015/2016,1.3473216
20.0,0.666,2.206442,Udinese Calcio,Francisco Sierralta,Centre-Back,Granada CF,2017/2018,1.540442
27.0,2.8,7.772806,Borussia Mönchengladbach,Michael Lang,Right-Back,FC Basel,2018/2019,4.972806
24.0,1.2,7.95133,Inter Milan,Rene Krhin,Defensive Midfield,Bologna,2014/2015,6.751329999999999
20.0,2.0,4.684037,Newcastle United,Ayoze Pérez,Second Striker,CD Tenerife,2014/2015,2.684037
27.0,2.17,1.9038312,VfB Stuttgart,Kevin Großkreutz,Right-Back,Galatasaray,2015/2016,-0.2661688
24.0,5.0,6.195663,Swansea City,Jefferson Montero,Left Winger,Monarcas Morelia,2014/2015,1.1956629999999997
23.0,15.0,4.580085,Olympique Lyon,Romain Faivre,Right Midfield,Stade Brestois,2021/2022,-10.419915
18.0,0.035,2.4490998,Rubin Kazan,Georgi Makhatadze,Central Midfield,Loko Moscow II,2016/2017,2.4140998
27.0,0.5,2.5011764,SD Eibar,Takashi Inui,Left Winger,E. Frankfurt,2015/2016,2.0011764
26.0,18.0,30.410866,FC Barcelona,Ivan Rakitic,Central Midfield,Sevilla FC,2014/2015,12.410865999999999
24.0,7.0,2.1998634,FC Porto,Wilson Manafá,Right-Back,Portimonense,2018/2019,-4.8001366
25.0,9.0,5.5902414,LOSC Lille,Kévin Malcuit,Right-Back,Saint-Étienne,2017/2018,-3.4097586
22.0,1.4,9.872674,Juventus FC,Mame Thiam,Left Winger,Virtus Lanciano,2015/2016,8.472674
24.0,9.0,5.510439,FK Krasnodar,Tonny Vilhena,Central Midfield,Feyenoord,2019/2020,-3.489561
19.0,1.6,6.410948,VfL Wolfsburg,Francisco Rodríguez,Attacking Midfield,FC Zürich,2015/2016,4.810948
29.0,3.96,6.6802483,Hull City,Dame N'Doye,Centre-Forward,Loko Moscow,2014/2015,2.7202482999999997
23.0,0.35,0.0011332699,Twente Enschede FC,Cuco Martina,Right-Back,RKC Waalwijk,2013/2014,-0.34886673009999997
21.0,2.5,1.274753,Sporting CP,Lumor,Left-Back,Portimonense,2017/2018,-1.225247
24.0,1.0,3.573895,FC Crotone,Ante Budimir,Centre-Forward,FC St. Pauli,2016/2017,2.573895
21.0,8.0,25.873117,Arsenal FC,Nuno Tavares,Left-Back,Benfica,2021/2022,17.873117
30.0,3.5,4.792789,Watford FC,Valon Behrami,Defensive Midfield,Hamburger SV,2015/2016,1.292789
26.0,14.0,9.230036,Valencia CF,Francis Coquelin,Defensive Midfield,Arsenal,2017/2018,-4.769964
27.0,2.2,3.9603705,RCD Mallorca,Ante Budimir,Centre-Forward,Crotone,2019/2020,1.7603704999999996
21.0,15.0,13.238286,AS Monaco,Youssouf Fofana,Central Midfield,R. Strasbourg,2019/2020,-1.7617139999999996
31.0,0.1,1.0821267,AC Siena,Francesco Valiani,Central Midfield,Parma,2012/2013,0.9821267000000001
28.0,0.4,2.6155813,Delfino Pescara 1936,Ferdinando Sforzini,Centre-Forward,Grosseto,2012/2013,2.2155813
19.0,0.5,2.1800325,Vitesse Arnhem,Mukhtar Ali,Defensive Midfield,Chelsea U23,2017/2018,1.6800324999999998
25.0,2.4,1.0356158,Hellas Verona,Alejandro González,Centre-Back,Peñarol,2013/2014,-1.3643842
22.0,0.25,1.8460201,Venezia FC,David Schnegg,Left-Back,LASK,2021/2022,1.5960201
20.0,2.2,7.024778,Brighton & Hove Albion,Anders Dreyer,Right Winger,Esbjerg fB,2018/2019,4.824778
25.0,23.1,17.066086,West Ham United,Saïd Benrahma,Left Winger,Brentford,2020/2021,-6.033914000000003
21.0,0.3,2.0604281,FK Rostov,Nika Kacharava,Centre-Forward,Tskhinvali,2015/2016,1.7604281000000002
23.0,3.5,0.73174787,TSG 1899 Hoffenheim,Pavel Kaderabek,Right-Back,Sparta Prague,2015/2016,-2.76825213
19.0,2.8,2.7510164,Hannover 96,Leonardo Bittencourt,Attacking Midfield,Bor. Dortmund,2013/2014,-0.04898359999999968
23.0,14.0,24.107983,FC Barcelona,Jordi Alba,Left-Back,Valencia,2012/2013,10.107983
19.0,0.02,0.20464006,Parma FC,Marijan Coric,Goalkeeper,Istra 1961 U19,2014/2015,0.18464006000000002
23.0,30.0,20.98333,West Ham United,Nikola Vlasic,Attacking Midfield,CSKA Moscow,2021/2022,-9.016670000000001
22.0,22.0,12.924236,VfL Wolfsburg,Kevin De Bruyne,Attacking Midfield,Chelsea,2013/2014,-9.075764
32.0,3.0,1.7411312,Bologna FC 1909,Marko Arnautovic,Centre-Forward,SH Port,2021/2022,-1.2588688
22.0,15.0,14.412139,RB Leipzig,Bruma,Left Winger,Galatasaray,2017/2018,-0.5878610000000002
23.0,2.5,1.5894878,FK Krasnodar,Igor Smolnikov,Right-Back,Rostov,2012/2013,-0.9105122000000001
22.0,1.0,3.0194476,FC Metz,Warren Tchimbembé,Right Winger,Troyes,2020/2021,2.0194476
33.0,1.4,3.3230352,Aston Villa,Joleon Lescott,Centre-Back,West Brom,2015/2016,1.9230352000000002
26.0,11.0,10.338947,FC Internazionale,Fredy Guarín,Central Midfield,FC Porto,2012/2013,-0.6610530000000008
20.0,3.5,2.8434541,Dijon FCO,Mounir Chouiar,Left Winger,Lens,2019/2020,-0.6565458999999998
21.0,1.0,1.2911319,1.FC Nuremberg,Ondrej Petrak,Defensive Midfield,Slavia Prague,2013/2014,0.2911319000000001
25.0,5.0,5.081401,Levante UD,Rúben Vezo,Centre-Back,Valencia,2019/2020,0.08140099999999961
