club_name,player_name,age,position,club_involved_name,transfer_period,fee_cleaned,league_name,season,OverallSeasonClub,OverallSeasonClub2,league_destination,Overall_club_name,Overall_club_involved
Real Madrid,Aurélien Tchouameni,22.0,Defensive Midfield,Monaco,Summer,80.0,Primera Division,2022,0.361329826054969,0.2091499497585124,,1.0,0.0
FC Barcelona,Raphinha,25.0,Right Winger,Leeds,Summer,58.0,Primera Division,2022,0.2394138589345053,0.0,,0.7388617566077745,0.0
FC Barcelona,Jules Koundé,23.0,Centre-Back,Sevilla FC,Summer,50.0,Primera Division,2022,0.2394138589345053,0.2604267506158023,Primera Division,0.7388617566077745,0.5877232272668695
FC Barcelona,Robert Lewandowski,33.0,Centre-Forward,Bayern Munich,Summer,45.0,Primera Division,2022,0.2394138589345053,1.0,1 Bundesliga,0.7388617566077745,0.971130632264834
Sevilla FC,Tanguy Nianzou,20.0,Centre-Back,Bayern Munich,Summer,16.0,Primera Division,2022,0.2604267506158023,1.0,1 Bundesliga,0.5877232272668695,0.971130632264834
Sevilla FC,Marcão,26.0,Centre-Back,Galatasaray,Summer,12.0,Primera Division,2022,0.2604267506158023,0.0,,0.5877232272668695,0.3557697848005357
Atlético de Madrid,Nahuel Molina,24.0,Right-Back,Udinese Calcio,Summer,20.0,Primera Division,2022,0.1236931817808441,0.0,Serie A,0.0,0.0
Atlético de Madrid,Samuel Lino,22.0,Left Winger,Gil Vicente,Summer,6.5,Primera Division,2022,0.1236931817808441,0.0,Liga Nos,0.0,0.0
Real Sociedad,Umar Sadiq,25.0,Centre-Forward,UD Almería,Summer,20.0,Primera Division,2022,0.0762621296475065,0.0,Primera Division,0.3043008789429461,0.0
Real Sociedad,Brais Méndez,25.0,Right Winger,Celta de Vigo,Summer,14.0,Primera Division,2022,0.0762621296475065,0.0,Primera Division,0.3043008789429461,0.2637861941259757
Real Sociedad,Momo Cho,18.0,Centre-Forward,Angers SCO,Summer,11.0,Primera Division,2022,0.0762621296475065,0.0,Ligue 1,0.3043008789429461,0.0
Real Sociedad,Takefusa Kubo,21.0,Right Winger,Real Madrid,Summer,6.5,Primera Division,2022,0.0762621296475065,0.361329826054969,Primera Division,0.3043008789429461,1.0
Real Betis Balompié,Willian José,30.0,Centre-Forward,Real Sociedad,Summer,10.0,Primera Division,2022,0.0,0.0762621296475065,Primera Division,0.0,0.3043008789429461
