club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country,match_score,best_match_name,best_match_Overall_Match_Total_Standardized
Athletic Bilbao,Aritz Aduriz,31.0,Centre-Forward,Valencia,€2.50m,in,Summer,2.5,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,Isma López,22.0,Left-Back,CD Lugo,free transfer,in,Summer,0.0,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,Iago Herrerín,24.0,Goalkeeper,Atl. Madrid B,free transfer,in,Summer,0.0,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,Pablo Orbaiz,33.0,Defensive Midfield,Olympiacos,"End of loanJun 30, 2012",in,Summer,,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,Galder Cerrajería,23.0,Central Midfield,Real Murcia,"End of loanJun 30, 2012",in,Summer,,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,Ustaritz,29.0,Centre-Back,Real Betis,"End of loanJun 30, 2012",in,Summer,,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,Iñigo Díaz de Cerio,28.0,Centre-Forward,CD Numancia,"End of loanJun 30, 2012",in,Summer,,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,Javi Martínez,23.0,Defensive Midfield,Bayern Munich,€40.00m,out,Summer,40.0,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,David López,29.0,Central Midfield,Brighton,free transfer,out,Summer,0.0,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,Galder Cerrajería,23.0,Central Midfield,Real Oviedo,free transfer,out,Summer,0.0,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,Pablo Orbaiz,33.0,Defensive Midfield,Rubin Kazan,free transfer,out,Summer,0.0,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,Koikili,31.0,Left-Back,CD Mirandés,free transfer,out,Summer,0.0,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,Igor Gabilondo,33.0,Left Midfield,AEK Larnaca,free transfer,out,Summer,0.0,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,Iñigo Díaz de Cerio,28.0,Centre-Forward,CD Mirandés,free transfer,out,Summer,0.0,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,Iago Herrerín,24.0,Goalkeeper,CD Numancia,loan transfer,out,Summer,,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,Iban Zubiaurre,29.0,Right-Back,UD Salamanca,loan transfer,out,Summer,,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,Ustaritz,29.0,Centre-Back,Without Club,-,out,Summer,,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Athletic Bilbao,Aitor Ocio,35.0,Centre-Back,Retired,-,out,Summer,,Primera Division,2012,2012/2013,Spain,100,Athletic Bilbao,0.0133993932150974
Real Sociedad,Carlos Vela,23.0,Right Winger,Arsenal,€14.00m,in,Summer,14.0,Primera Division,2012,2012/2013,Spain,50,Chelsea,0.4706920375801336
Real Sociedad,Chory Castro,27.0,Left Winger,RCD Mallorca,free transfer,in,Summer,0.0,Primera Division,2012,2012/2013,Spain,50,Chelsea,0.4706920375801336
Real Sociedad,Yuri Berchiche,22.0,Left-Back,Real Unión,free transfer,in,Summer,0.0,Primera Division,2012,2012/2013,Spain,50,Chelsea,0.4706920375801336
Real Sociedad,Cote,22.0,Left-Back,AS Roma,loan transfer,in,Summer,,Primera Division,2012,2012/2013,Spain,50,Chelsea,0.4706920375801336
