posizione,nn,nome squadra,paese,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,22/23,TitlePoints,CountryPart
1.0,,Real Madrid,Esp,35.0,29.0,33.0,33.0,32.0,19.0,17.0,26.0,30.0,28.0,94.0,39.827
2.0,,Bayern Munich,Ger,27.0,28.0,29.0,22.0,29.0,20.0,36.0,27.0,26.0,27.0,43.0,30.756
3.0,,FC Barcelona,Esp,24.0,34.0,26.0,23.0,25.0,30.0,24.0,20.0,15.0,9.0,41.0,39.827
4.0,,Juventus,Ita,23.0,29.0,18.0,33.0,23.0,21.0,22.0,21.0,20.0,16.0,17.0,31.235
5.0,,Manchester City,Eng,19.0,15.0,26.0,18.0,22.0,25.0,25.0,35.0,27.0,27.0,1.0,37.463
6.0,,Chelsea,Eng,25.0,21.0,18.0,,18.0,30.0,17.0,33.0,25.0,21.0,28.0,37.463
7.0,,Atletico Madrid,Esp,33.0,22.0,28.0,29.0,28.0,20.0,22.0,16.0,19.0,8.0,7.0,39.827
8.0,,Liverpool,Eng,,10.0,22.0,,30.0,29.0,18.0,24.0,33.0,19.0,40.0,37.463
9.0,,Paris Saint-Germain,Fra,25.0,21.0,24.0,20.0,19.0,19.0,31.0,24.0,19.0,19.0,2.0,23.515
10.0,,Sevilla,Esp,22.0,28.0,23.0,19.0,21.0,13.0,26.0,19.0,12.0,16.0,13.0,39.827
11.0,,Manchester United,Eng,23.0,,13.0,26.0,20.0,19.0,22.0,26.0,18.0,19.0,23.0,37.463
12.0,,Borussia Dortmund,Ger,22.0,18.0,17.0,22.0,10.0,18.0,18.0,22.0,10.0,18.0,9.0,30.756
13.0,,FC Porto,Por,16.0,25.0,11.0,17.0,17.0,23.0,7.0,23.0,10.0,18.0,16.0,20.692
14.0,,Arsenal,Eng,18.0,20.0,15.0,19.0,21.0,26.0,10.0,23.0,,17.0,2.0,37.463
15.0,,Benfica,Por,29.0,8.0,22.0,17.0,4.0,17.0,10.0,10.0,20.0,25.0,8.0,20.692
16.0,,Ajax,Ned,10.0,14.0,6.0,22.0,1.5,27.0,13.0,19.0,22.0,8.0,22.0,17.929
17.0,,Napoli,Ita,16.0,22.0,13.0,17.0,10.0,18.0,19.0,10.0,9.0,25.0,1.0,31.235
18.0,,AS Roma,Ita,,12.0,14.0,13.0,25.0,17.0,11.0,24.0,23.0,17.0,,31.235
19.0,,Tottenham Hotspur,Eng,15.0,9.0,12.0,10.0,21.0,26.0,16.0,15.0,5.0,18.0,3.0,37.463
20.0,,Shakhtar Donetsk,Ukr,11.0,17.0,20.0,14.0,19.0,10.0,22.0,14.0,6.0,11.0,2.0,14.126
21.0,,Bayer Leverkusen,Ger,16.0,18.0,14.0,18.0,,11.0,18.0,10.0,14.0,18.0,1.0,30.756
22.0,,Villarreal,Esp,,12.0,23.0,9.0,8.0,16.0,,30.0,24.0,12.0,3.0,39.827
23.0,,Internazionale,Ita,,12.0,,4.0,,15.0,25.0,9.0,18.0,24.0,21.0,31.235
24.0,,FC Basel,Sui,19.0,15.0,12.0,6.0,19.0,2.5,19.0,2.5,12.0,15.0,,12.275
25.0,,Lyon,Fra,15.0,1.5,7.0,22.0,14.0,17.0,23.0,,21.0,,,23.515
26.0,,AC Milan,Ita,16.0,,,,12.0,7.0,,12.0,7.0,24.0,42.0,31.235
27.0,,FC Salzburg,Aut,17.0,11.0,1.5,5.0,21.0,16.0,10.0,7.0,17.0,9.0,,13.37
28.0,,Zenit St. Petersburg,Rus,16.0,17.0,19.0,12.0,14.0,10.0,9.0,5.0,8.0,,2.0,15.919
29.0,,RB Leipzig,Ger,,,,,17.0,5.0,27.0,17.0,17.0,18.0,,30.756
30.0,,Dinamo Kyiv,Ukr,8.0,16.0,18.0,8.0,12.0,11.0,6.0,10.0,5.0,3.0,2.0,14.126
31.0,,Sporting CP,Por,,10.0,7.0,6.0,17.0,10.0,10.0,2.5,16.0,14.0,1.0,20.692
32.0,,Eintracht Frankfurt,Ger,12.0,,,,,24.0,9.0,,28.0,16.0,4.0,30.756
,,Olympiakos Piraeus,Gre,18.0,11.0,10.0,10.0,5.0,8.0,10.0,10.0,8.0,3.0,,10.765
